"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10082","deleteIP","Suite","2026-04-28","failed","2026-04-28","ui.configuration.security.safelist.SafelistIPTest","Test","ui.configuration.security.safelist.SafelistIPTest","deleteIP"
"","132","verifyIP","Suite","2026-04-28","passed","2026-04-28","ui.configuration.security.safelist.SafelistIPTest","Test","ui.configuration.security.safelist.SafelistIPTest","verifyIP"
"","6398","addNumber","Suite","2026-04-28","passed","2026-04-28","ui.configuration.security.banned.BannedNumbersTest","Test","ui.configuration.security.banned.BannedNumbersTest","addNumber"
"","2774","deleteAll","Suite","2026-04-28","passed","2026-04-28","ui.configuration.security.safelist.SafelistIPTest","Test","ui.configuration.security.safelist.SafelistIPTest","deleteAll"
"","5406","addIP","Suite","2026-04-28","passed","2026-04-28","ui.configuration.security.safelist.SafelistIPTest","Test","ui.configuration.security.safelist.SafelistIPTest","addIP"
"","6706","emptyValidation","Suite","2026-04-28","passed","2026-04-28","ui.configuration.security.safelist.SafelistIPTest","Test","ui.configuration.security.safelist.SafelistIPTest","emptyValidation"
"","5039","addDuplicateIP","Suite","2026-04-28","passed","2026-04-28","ui.configuration.security.safelist.SafelistIPTest","Test","ui.configuration.security.safelist.SafelistIPTest","addDuplicateIP"
"","2065","exportCSVTest","Suite","2026-04-28","passed","2026-04-28","ui.configuration.security.safelist.SafelistIPTest","Test","ui.configuration.security.safelist.SafelistIPTest","exportCSVTest"
"","134","Verify login failure message with incorrect password","Suite","2026-04-28","broken","2026-04-28","ui.login.CTMLoginTest","Test","ui.login.CTMLoginTest","verifyInvalidPassword"
"","13574","Verify successful login with valid credentials","Suite","2026-04-28","passed","2026-04-28","ui.login.CTMLoginTest","Test","ui.login.CTMLoginTest","verifySuccessfulLogin"
"","4752","addAltIP","Suite","2026-04-28","passed","2026-04-28","ui.configuration.security.safelist.SafelistIPTest","Test","ui.configuration.security.safelist.SafelistIPTest","addAltIP"
"","3348","uploadCSV","Suite","2026-04-28","passed","2026-04-28","ui.configuration.security.safelist.SafelistIPTest","Test","ui.configuration.security.safelist.SafelistIPTest","uploadCSV"
"","11987","Verify UI validation for empty login fields","Suite","2026-04-28","failed","2026-04-28","ui.login.CTMLoginTest","Test","ui.login.CTMLoginTest","verifyEmptyFields"
"","6958","addAltNumber","Suite","2026-04-28","passed","2026-04-28","ui.configuration.security.banned.BannedNumbersTest","Test","ui.configuration.security.banned.BannedNumbersTest","addAltNumber"
"","12127","Verify successful logout from the application","Suite","2026-04-28","failed","2026-04-28","ui.login.CTMLoginTest","Test","ui.login.CTMLoginTest","verifyLogout"
"","4800","cancelAddIP","Suite","2026-04-28","passed","2026-04-28","ui.configuration.security.safelist.SafelistIPTest","Test","ui.configuration.security.safelist.SafelistIPTest","cancelAddIP"
