"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4634","Link ASR UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.configuration.groups.GroupPagesTest","Test","smoke.configuration.groups.GroupPagesTest","linkASRUiPageLoadValidation"
"","8600","AFI(Advanced Fraud Interdicition) UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.configuration.services.ServicesPagesTest","Test","smoke.configuration.services.ServicesPagesTest","afiUiPageLoadValidation"
"","72","Verify added Error Rate rule is displayed correctly","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.ErrorRateTest","Test","ui.configuration.security.ErrorRateTest","verifyRule"
"","1689","Diameter UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.configuration.access.authentication.AuthenticationPagesTest","Test","smoke.configuration.access.authentication.AuthenticationPagesTest","diameterUiPageLoadValidation"
"","3325","Verify Error Rate rule can be added successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.ErrorRateTest","Test","ui.configuration.security.ErrorRateTest","addRule"
"","2375","Register Messages UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.visibility.messages.MessagePagesTest","Test","smoke.visibility.messages.MessagePagesTest","registerMessagesUiPageLoadValidation"
"","4630","Verify user can add multiple banned countries successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.banned.BannedCountriesTest","Test","ui.configuration.security.banned.BannedCountriesTest","addMultipleCountries"
"","1500","Registration Fraud UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.configuration.security.monitors.MonitorPagesTest","Test","smoke.configuration.security.monitors.MonitorPagesTest","registrationFraudUiPageLoadValidation"
"","2083","Verify PAssert Rate Monitor configuration persists after page refresh using alternative values","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.dos.PAssertRateMonitorTest","Test","ui.configuration.security.monitors.dos.PAssertRateMonitorTest","shouldPersistConfigurationAfterRefresh"
"","2357","Verify safelist number can be added successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.safelist.SafelistNumbersTest","Test","ui.configuration.security.safelist.SafelistNumbersTest","addNumber"
"","1355","Verify International Destinations configuration can be updated successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.InternationalDestinationsTest","Test","ui.configuration.security.monitors.InternationalDestinationsTest","shouldConfigureInternationalDestinations"
