"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8805","Verify successful login with valid credentials","UI Regression","2026-06-05","passed","2026-06-05","ui.login.CTMLoginTest","Test","ui.login.CTMLoginTest","verifySuccessfulLogin"
"","11611","Verify UI validation for empty login fields","UI Regression","2026-06-05","failed","2026-06-05","ui.login.CTMLoginTest","Test","ui.login.CTMLoginTest","verifyEmptyFields"
"","5267","Verify UC Application Security text fields can be configured and applied","UI Regression","2026-06-05","passed","2026-06-05","ui.configuration.security.UCApplicationSecurityTest","Test","ui.configuration.security.UCApplicationSecurityTest","configureTextFieldsAndApply"
"","79","Verify login failure message with incorrect password","UI Regression","2026-06-05","broken","2026-06-05","ui.login.CTMLoginTest","Test","ui.login.CTMLoginTest","verifyInvalidPassword"
"","5180","Verify minimum valid UC Application Security values can be applied successfully","UI Regression","2026-06-05","passed","2026-06-05","ui.configuration.security.UCApplicationSecurityTest","Test","ui.configuration.security.UCApplicationSecurityTest","applyBoundaryValues"
"","8531","Verify successful logout from the application","UI Regression","2026-06-05","failed","2026-06-05","ui.login.CTMLoginTest","Test","ui.login.CTMLoginTest","verifyLogout"
"","5807","Verify all UC Application Security checkboxes can be deselected and applied","UI Regression","2026-06-05","passed","2026-06-05","ui.configuration.security.UCApplicationSecurityTest","Test","ui.configuration.security.UCApplicationSecurityTest","uncheckAllCheckboxesAndApply"
"","6440","Verify UC Application Security checkbox changes are discarded on cancel","UI Regression","2026-06-05","passed","2026-06-05","ui.configuration.security.UCApplicationSecurityTest","Test","ui.configuration.security.UCApplicationSecurityTest","cancelCheckboxChanges"
"","5347","Verify maximum valid UC Application Security values can be applied successfully","UI Regression","2026-06-05","passed","2026-06-05","ui.configuration.security.UCApplicationSecurityTest","Test","ui.configuration.security.UCApplicationSecurityTest","applyMaximumValues"
"","13539","Verify all UC Application Security checkboxes can be selected and applied","UI Regression","2026-06-05","passed","2026-06-05","ui.configuration.security.UCApplicationSecurityTest","Test","ui.configuration.security.UCApplicationSecurityTest","checkAllCheckboxesAndApply"
"","5371","Verify UC Application Security text field changes are discarded on cancel","UI Regression","2026-06-05","passed","2026-06-05","ui.configuration.security.UCApplicationSecurityTest","Test","ui.configuration.security.UCApplicationSecurityTest","cancelTextFieldChanges"
