"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2107","Dial Call Format UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.basicsetup.BasicSetupPagesTest","Test","smoke.configuration.basicsetup.BasicSetupPagesTest","dialCallFormatUiPageLoadValidation"
"","1631","Radius UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.access.authentication.AuthenticationPagesTest","Test","smoke.configuration.access.authentication.AuthenticationPagesTest","radiusUiPageLoadValidation"
"","5040","Email Groups UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.groups.GroupPagesTest","Test","smoke.configuration.groups.GroupPagesTest","emailUiPageLoadValidation"
"","5393","Specific Day Thresholds UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.tollfraud.baselinebased.BaselineBasedPagesTest","Test","smoke.configuration.tollfraud.baselinebased.BaselineBasedPagesTest","specificDayThresholdsUiPageLoadValidation"
"","1583","User Group UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.visibility.statistics.networkgroup.NetworkGroupPagesTest","Test","smoke.visibility.statistics.networkgroup.NetworkGroupPagesTest","userGroupUiPageLoadValidation"
"","1841","Violations UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.visibility.alerts.AlertPagesTest","Test","smoke.visibility.alerts.AlertPagesTest","violationsUiPageLoadValidation"
"","5943","Malicious User Agent UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.security.enddevices.EndDevicePagesTest","Test","smoke.configuration.security.enddevices.EndDevicePagesTest","maliciousUserAgentUiPageLoadValidation"
"","1509","CRL Request UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.administration.certificates.generator.GeneratorCertificatePagesTest","Test","smoke.administration.certificates.generator.GeneratorCertificatePagesTest","crlRequestUiPageLoadValidation"
"","5566","Call Direction UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.basicsetup.BasicSetupPagesTest","Test","smoke.configuration.basicsetup.BasicSetupPagesTest","callDirectionUiPageLoadValidation"
"","2618","User Calling Pattern UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.visibility.tollfraud.baseline.callvolume.CallVolumePagesTest","Test","smoke.visibility.tollfraud.baseline.callvolume.CallVolumePagesTest","userCallingPatternUiPageLoadValidation"
"","4965","Link ASR UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.groups.GroupPagesTest","Test","smoke.configuration.groups.GroupPagesTest","linkASRUiPageLoadValidation"
"","7261","Alerts Severity UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.basicsetup.alertSeverity.AlertSeverityPagesTest","Test","smoke.configuration.basicsetup.alertSeverity.AlertSeverityPagesTest","alertsSeverityUiPageLoadValidation"
"","1742","Black List History UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.visibility.blacklist.BlackListPagesTest","Test","smoke.visibility.blacklist.BlackListPagesTest","blackListHistoryUiPageLoadValidation"
"","7233","Signature Alerts Severity UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.basicsetup.alertSeverity.AlertSeverityPagesTest","Test","smoke.configuration.basicsetup.alertSeverity.AlertSeverityPagesTest","signatureAlertsSeverityUiPageLoadValidation"
"","5554","ASR UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.groups.GroupPagesTest","Test","smoke.configuration.groups.GroupPagesTest","asrUiPageLoadValidation"
"","5224","SNMP Trap UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.system.SystemPagesTest","Test","smoke.configuration.system.SystemPagesTest","snmpTrapUiPageLoadValidation"
"","1839","Reports UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.report.ReportPagesTest","Test","smoke.report.ReportPagesTest","reportsUiPageLoadValidation"
"","2387","Alerts UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.visibility.alerts.AlertPagesTest","Test","smoke.visibility.alerts.AlertPagesTest","alertsUiPageLoadValidation"
"","1615","Backup Restore UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.administration.maintenance.MaintenancePagesTest","Test","smoke.administration.maintenance.MaintenancePagesTest","backupRestoreUiPageLoadValidation"
"","5898","Email Config UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.system.SystemPagesTest","Test","smoke.configuration.system.SystemPagesTest","emailConfigUiPageLoadValidation"
"","1541","SIP Error Codes Chart UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.visibility.activity.ActivityPagesTest","Test","smoke.visibility.activity.ActivityPagesTest","sipErrorCodesChartUiPageLoadValidation"
"","1544","SAML Config UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.access.authentication.AuthenticationPagesTest","Test","smoke.configuration.access.authentication.AuthenticationPagesTest","samlConfigUiPageLoadValidation"
