"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","192","Verify edited Error Rate rule is displayed correctly","UI Regression","2026-08-12","broken","2026-08-12","ui.configuration.security.ErrorRateTest","Test","ui.configuration.security.ErrorRateTest","verifyEditedRule"
"","133","Verify banned IP addresses are displayed in the table","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.banned.BannedIPAddressTest","Test","ui.configuration.security.banned.BannedIPAddressTest","verifyIPAddress"
"","3225","Verify duplicate banned country validation message is displayed","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.banned.BannedCountriesTest","Test","ui.configuration.security.banned.BannedCountriesTest","addDuplicateCountry"
"","9142","Verify UC Application Security text fields can be configured and applied","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.UCApplicationSecurityTest","Test","ui.configuration.security.UCApplicationSecurityTest","configureTextFieldsAndApply"
"","52","Verify War Dialing monitoring graph or table is displayed","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.monitors.WarDialingTest","Test","ui.configuration.security.monitors.WarDialingTest","shouldVerifyGraphTableAppears"
"","31","Verify all device integrity records can be deleted successfully","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.endDevices.DeviceIntegrityTest","Test","ui.configuration.security.endDevices.DeviceIntegrityTest","deleteAll"
"Verify a second Call Rate Rule can be added successfully.","2030","testAddSecondRule","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.policies.CallRateRuleTest","Test","ui.configuration.policies.CallRateRuleTest","testAddSecondRule"
"","514","Verify safelist numbers CSV file can be exported successfully","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.safelist.SafelistNumbersTest","Test","ui.configuration.security.safelist.SafelistNumbersTest","exportCSVTest"
"","18","Verify learned codecs table contains records","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.codecs.LearnedCodecsTest","Test","ui.configuration.security.codecs.LearnedCodecsTest","verifyTableRecords"
"Verify a Destination Call Cost rule can be added.","3869","testAddCallCostRule","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.policies.DestinationCallRateTest","Test","ui.configuration.policies.DestinationCallRateTest","testAddCallCostRule"
"","69","Verify Call Minutes rule is displayed correctly","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.policies.CountryCallRateTest","Test","ui.configuration.policies.CountryCallRateTest","verifyCallMinutesRule"
"","1539","Verify PAssert Rate Monitor configuration persists after page refresh using alternative values","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.monitors.dos.PAssertRateMonitorTest","Test","ui.configuration.security.monitors.dos.PAssertRateMonitorTest","shouldPersistConfigurationAfterRefresh"
"","1175","Verify null user protection can be enabled successfully","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.endDevices.MessageIntegrityTest","Test","ui.configuration.security.endDevices.MessageIntegrityTest","enableNullUser"
"","1399","Verify user can enable Call Duration Monitor and apply configuration","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.monitors.spit.CallDurationAlertTest","Test","ui.configuration.security.monitors.spit.CallDurationAlertTest","shouldUpdateCallDurationConfiguration"
"","3916","Verify that a new RoboCall entry can be added and is visible in the table","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.botnet.RoboCallsTest","Test","ui.configuration.security.botnet.RoboCallsTest","addRoboCall"
"","1188","Verify Learned Codecs refresh keeps table available","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.codecs.LearnedCodecsTest","Test","ui.configuration.security.codecs.LearnedCodecsTest","refreshLearnedCodecs"
"","684","Verify all safelist IP entries can be deleted successfully","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.safelist.SafelistIPTest","Test","ui.configuration.security.safelist.SafelistIPTest","deleteAll"
"Verify New Country Call Tracking can be enabled.","972","testEnableTracking","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.policies.NewCountryCallTest","Test","ui.configuration.policies.NewCountryCallTest","testEnableTracking"
"","82","testVerifyCallVolumeRule","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.policies.SourceCallRateTest","Test","ui.configuration.policies.SourceCallRateTest","testVerifyCallVolumeRule"
"","66340","Verify Update button repopulates Assigned Numbers data","UI Regression","2026-08-12","broken","2026-08-12","ui.configuration.security.dno.AssignedNumbersTest","Test","ui.configuration.security.dno.AssignedNumbersTest","verifyUpdateButton"
